encoder,spec,budget,seed,local_epochs,round,target,test_acc,test_f1_macro,uplink_mb,downlink_mb
resnetse5,iid:RealWorld_thigh:10,192,3,1,18,RealWorld_thigh,0.5350694444444445,0.4517317823933615,5.230560302734375,5.230560302734375
resnetse5,iid:RealWorld_thigh:10,192,3,1,19,RealWorld_thigh,0.5305555555555556,0.45463420152362205,5.230560302734375,5.230560302734375
resnetse5,iid:RealWorld_thigh:10,192,3,1,20,RealWorld_thigh,0.5482638888888889,0.4892699675265473,5.230560302734375,5.230560302734375
resnetse5,iid:RealWorld_thigh:10,192,3,1,21,RealWorld_thigh,0.5611111111111111,0.5159929791653702,5.230560302734375,5.230560302734375
resnetse5,iid:RealWorld_thigh:10,192,3,1,22,RealWorld_thigh,0.609375,0.5862411410931728,5.230560302734375,5.230560302734375
resnetse5,iid:RealWorld_thigh:10,192,3,1,23,RealWorld_thigh,0.5152777777777777,0.47677721310247795,5.230560302734375,5.230560302734375
resnetse5,iid:RealWorld_thigh:10,192,3,1,24,RealWorld_thigh,0.5256944444444445,0.49316369461946485,5.230560302734375,5.230560302734375
resnetse5,iid:RealWorld_thigh:10,192,3,1,25,RealWorld_thigh,0.5503472222222222,0.5171873397526986,5.230560302734375,5.230560302734375
resnetse5,iid:RealWorld_thigh:10,192,3,1,26,RealWorld_thigh,0.5954861111111112,0.545205294894796,5.230560302734375,5.230560302734375
resnetse5,iid:RealWorld_thigh:10,192,3,1,27,RealWorld_thigh,0.6243055555555556,0.5780159370377295,5.230560302734375,5.230560302734375
resnetse5,iid:RealWorld_thigh:10,192,3,1,28,RealWorld_thigh,0.6402777777777777,0.5952564464079007,5.230560302734375,5.230560302734375
resnetse5,iid:RealWorld_thigh:10,192,3,1,29,RealWorld_thigh,0.6548611111111111,0.6108234125235049,5.230560302734375,5.230560302734375
resnetse5,iid:RealWorld_thigh:10,192,3,1,30,RealWorld_thigh,0.6711805555555556,0.6278393750285169,5.230560302734375,5.230560302734375
resnetse5,iid:RealWorld_thigh:10,192,3,1,31,RealWorld_thigh,0.6777777777777778,0.6343280300959768,5.230560302734375,5.230560302734375
resnetse5,iid:RealWorld_thigh:10,192,3,1,32,RealWorld_thigh,0.6802083333333333,0.6366516019496214,5.230560302734375,5.230560302734375
resnetse5,iid:RealWorld_thigh:10,192,3,1,33,RealWorld_thigh,0.6916666666666667,0.6481591184512442,5.230560302734375,5.230560302734375
resnetse5,iid:RealWorld_thigh:10,192,3,1,34,RealWorld_thigh,0.6954861111111111,0.6518203114783807,5.230560302734375,5.230560302734375
resnetse5,iid:RealWorld_thigh:10,192,3,1,35,RealWorld_thigh,0.6975694444444445,0.6539478328079825,5.230560302734375,5.230560302734375
resnetse5,iid:RealWorld_thigh:10,192,3,1,36,RealWorld_thigh,0.7,0.6563484176452388,5.230560302734375,5.230560302734375
resnetse5,iid:RealWorld_thigh:10,192,3,1,37,RealWorld_thigh,0.7138888888888889,0.7172817490248576,5.230560302734375,5.230560302734375
resnetse5,iid:RealWorld_thigh:10,192,3,1,38,RealWorld_thigh,0.6663194444444445,0.6430742633630223,5.230560302734375,5.230560302734375
resnetse5,iid:RealWorld_thigh:10,192,3,1,39,RealWorld_thigh,0.7024305555555556,0.6587245462407519,5.230560302734375,5.230560302734375
resnetse5,iid:RealWorld_thigh:10,192,3,1,40,RealWorld_thigh,0.7013888888888888,0.6577369011213553,5.230560302734375,5.230560302734375
resnetse5,iid:RealWorld_thigh:10,192,3,1,41,RealWorld_thigh,0.6982638888888889,0.6550490414680628,5.230560302734375,5.230560302734375
resnetse5,iid:RealWorld_thigh:10,192,3,1,42,RealWorld_thigh,0.7038194444444444,0.6603894390863894,5.230560302734375,5.230560302734375
resnetse5,iid:RealWorld_thigh:10,192,3,1,43,RealWorld_thigh,0.6649305555555556,0.6423400982993646,5.230560302734375,5.230560302734375
resnetse5,iid:RealWorld_thigh:10,192,3,1,44,RealWorld_thigh,0.7017361111111111,0.7003360993611727,5.230560302734375,5.230560302734375
resnetse5,iid:RealWorld_thigh:10,192,3,1,45,RealWorld_thigh,0.7375,0.7417355091781128,5.230560302734375,5.230560302734375
resnetse5,iid:RealWorld_thigh:10,192,3,1,46,RealWorld_thigh,0.7354166666666667,0.7278689966971822,5.230560302734375,5.230560302734375
resnetse5,iid:RealWorld_thigh:10,192,3,1,47,RealWorld_thigh,0.6677083333333333,0.6530423825320542,5.230560302734375,5.230560302734375
resnetse5,iid:RealWorld_thigh:10,192,3,1,48,RealWorld_thigh,0.6684027777777778,0.6523956253298986,5.230560302734375,5.230560302734375
resnetse5,iid:RealWorld_thigh:10,192,3,1,49,RealWorld_thigh,0.6635416666666667,0.6474843605791508,5.230560302734375,5.230560302734375
resnetse5,iid:RealWorld_thigh:10,192,3,1,50,RealWorld_thigh,0.7284722222222222,0.718493718586371,5.230560302734375,5.230560302734375
resnetse5,iid:RealWorld_thigh:10,192,3,1,51,RealWorld_thigh,0.7395833333333334,0.7417189106252159,5.230560302734375,5.230560302734375
resnetse5,iid:RealWorld_thigh:10,192,3,1,52,RealWorld_thigh,0.7385416666666667,0.735924956880949,5.230560302734375,5.230560302734375
resnetse5,iid:RealWorld_thigh:10,192,3,1,53,RealWorld_thigh,0.7045138888888889,0.6602550139628273,5.230560302734375,5.230560302734375
resnetse5,iid:RealWorld_thigh:10,192,3,1,54,RealWorld_thigh,0.7319444444444444,0.7393619175031868,5.230560302734375,5.230560302734375
resnetse5,iid:RealWorld_thigh:10,192,3,1,55,RealWorld_thigh,0.6666666666666666,0.6436910045494205,5.230560302734375,5.230560302734375
resnetse5,iid:RealWorld_thigh:10,192,3,1,56,RealWorld_thigh,0.7020833333333333,0.6976882844017323,5.230560302734375,5.230560302734375
resnetse5,iid:RealWorld_thigh:10,192,3,1,57,RealWorld_thigh,0.6715277777777777,0.6453825611403218,5.230560302734375,5.230560302734375
resnetse5,iid:RealWorld_thigh:10,192,3,1,58,RealWorld_thigh,0.7444444444444445,0.7409592029229217,5.230560302734375,5.230560302734375
resnetse5,iid:RealWorld_thigh:10,192,3,1,59,RealWorld_thigh,0.7427083333333333,0.7493194332433641,5.230560302734375,5.230560302734375
resnetse5,iid:RealWorld_thigh:10,192,3,1,60,RealWorld_thigh,0.7472222222222222,0.7524217722372675,5.230560302734375,5.230560302734375
resnetse5,iid:RealWorld_thigh:10,192,3,1,61,RealWorld_thigh,0.7361111111111112,0.7279593960929734,5.230560302734375,5.230560302734375
resnetse5,iid:RealWorld_thigh:10,192,3,1,62,RealWorld_thigh,0.7381944444444445,0.7342337623214293,5.230560302734375,5.230560302734375
resnetse5,iid:RealWorld_thigh:10,192,3,1,63,RealWorld_thigh,0.728125,0.714130778650901,5.230560302734375,5.230560302734375
resnetse5,iid:RealWorld_thigh:10,192,3,1,64,RealWorld_thigh,0.7329861111111111,0.7226175835251315,5.230560302734375,5.230560302734375
resnetse5,iid:RealWorld_thigh:10,192,3,1,65,RealWorld_thigh,0.7267361111111111,0.7127294576113962,5.230560302734375,5.230560302734375
resnetse5,iid:RealWorld_thigh:10,192,3,1,66,RealWorld_thigh,0.7274305555555556,0.714167604794658,5.230560302734375,5.230560302734375
resnetse5,iid:RealWorld_thigh:10,192,3,1,67,RealWorld_thigh,0.734375,0.7240848196877033,5.230560302734375,5.230560302734375
resnetse5,iid:RealWorld_thigh:10,192,3,1,68,RealWorld_thigh,0.7413194444444444,0.7371576990315657,5.230560302734375,5.230560302734375
resnetse5,iid:RealWorld_thigh:10,192,3,1,69,RealWorld_thigh,0.7368055555555556,0.7294981547307371,5.230560302734375,5.230560302734375
resnetse5,iid:RealWorld_thigh:10,192,3,1,70,RealWorld_thigh,0.7340277777777777,0.72484768129915,5.230560302734375,5.230560302734375
resnetse5,iid:RealWorld_thigh:10,192,3,1,71,RealWorld_thigh,0.7444444444444445,0.7396538697664798,5.230560302734375,5.230560302734375
resnetse5,iid:RealWorld_thigh:10,192,3,1,72,RealWorld_thigh,0.7357638888888889,0.7266934197393727,5.230560302734375,5.230560302734375
resnetse5,iid:RealWorld_thigh:10,192,3,1,73,RealWorld_thigh,0.7388888888888889,0.7313888917281645,5.230560302734375,5.230560302734375
