method,encoder,spec,pretrain_spec,n_shots,seed,target,test_acc,test_f1_macro,protocol
lfr,resnetse5,device:RealWorld_thigh+MotionSense:10+10,in-domain,full,0,MotionSense,0.9248046875,0.9219914740597892,val
lfr,resnetse5,device:RealWorld_thigh+MotionSense:10+10,in-domain,full,1,RealWorld_thigh,0.690625,0.6919177801368875,val
lfr,resnetse5,device:RealWorld_thigh+MotionSense:10+10,in-domain,full,1,MotionSense,0.833984375,0.835562143956542,val
lfr,resnetse5,device:RealWorld_thigh+MotionSense:10+10,in-domain,full,2,RealWorld_thigh,0.6715277777777777,0.6668739684204853,val
lfr,resnetse5,device:RealWorld_thigh+MotionSense:10+10,in-domain,full,2,MotionSense,0.8564453125,0.8588845797112444,val
lfr,resnetse5,device:RealWorld_thigh+MotionSense:10+10,in-domain,full,3,RealWorld_thigh,0.6791666666666667,0.6812042051340477,val
lfr,resnetse5,device:RealWorld_thigh+MotionSense:10+10,in-domain,full,3,MotionSense,0.849609375,0.8506783848784917,val
lfr,resnetse5,device:RealWorld_thigh+MotionSense:5+5,in-domain,10,0,RealWorld_thigh,0.678125,0.6829049835442357,val
lfr,resnetse5,device:RealWorld_thigh+MotionSense:5+5,in-domain,10,0,MotionSense,0.7998046875,0.7769516827572208,val
lfr,resnetse5,device:RealWorld_thigh+MotionSense:5+5,in-domain,10,1,RealWorld_thigh,0.6663194444444445,0.6725690119240242,val
lfr,resnetse5,device:RealWorld_thigh+MotionSense:5+5,in-domain,10,1,MotionSense,0.8603515625,0.8583836695824508,val
lfr,resnetse5,device:RealWorld_thigh+MotionSense:5+5,in-domain,10,2,RealWorld_thigh,0.6847222222222222,0.6936827113529862,val
lfr,resnetse5,device:RealWorld_thigh+MotionSense:5+5,in-domain,10,2,MotionSense,0.8203125,0.8190897986922431,val
lfr,resnetse5,device:RealWorld_thigh+MotionSense:5+5,in-domain,10,3,RealWorld_thigh,0.6232638888888888,0.6270886586887611,val
lfr,resnetse5,device:RealWorld_thigh+MotionSense:5+5,in-domain,10,3,MotionSense,0.7705078125,0.7431737989442593,val
lfr,resnetse5,device:RealWorld_thigh+MotionSense:5+5,in-domain,1,0,RealWorld_thigh,0.6302083333333334,0.6297328314232309,val
lfr,resnetse5,device:RealWorld_thigh+MotionSense:5+5,in-domain,1,0,MotionSense,0.7353515625,0.7133879631088299,val
lfr,resnetse5,device:RealWorld_thigh+MotionSense:5+5,in-domain,1,1,RealWorld_thigh,0.653125,0.6496252475451315,val
lfr,resnetse5,device:RealWorld_thigh+MotionSense:5+5,in-domain,1,1,MotionSense,0.7939453125,0.7904668133108502,val
lfr,resnetse5,device:RealWorld_thigh+MotionSense:5+5,in-domain,1,2,RealWorld_thigh,0.6350694444444445,0.6352200843914723,val
lfr,resnetse5,device:RealWorld_thigh+MotionSense:5+5,in-domain,1,2,MotionSense,0.755859375,0.7556730665373431,val
lfr,resnetse5,device:RealWorld_thigh+MotionSense:5+5,in-domain,1,3,RealWorld_thigh,0.5538194444444444,0.5011983691455323,val
lfr,resnetse5,device:RealWorld_thigh+MotionSense:5+5,in-domain,1,3,MotionSense,0.7021484375,0.6444050760468617,val
lfr,resnetse5,device:RealWorld_thigh+MotionSense:5+5,in-domain,2,0,RealWorld_thigh,0.6638888888888889,0.6627037924636895,val
lfr,resnetse5,device:RealWorld_thigh+MotionSense:5+5,in-domain,2,0,MotionSense,0.7705078125,0.7619945095056396,val
lfr,resnetse5,device:RealWorld_thigh+MotionSense:5+5,in-domain,2,1,RealWorld_thigh,0.6791666666666667,0.6827693386172938,val
lfr,resnetse5,device:RealWorld_thigh+MotionSense:5+5,in-domain,2,1,MotionSense,0.8134765625,0.8075693004474518,val
lfr,resnetse5,device:RealWorld_thigh+MotionSense:5+5,in-domain,2,2,RealWorld_thigh,0.5597222222222222,0.5264286238663468,val
lfr,resnetse5,device:RealWorld_thigh+MotionSense:5+5,in-domain,2,2,MotionSense,0.798828125,0.7978029139194965,val
lfr,resnetse5,device:RealWorld_thigh+MotionSense:5+5,in-domain,2,3,RealWorld_thigh,0.6052083333333333,0.6110724951709829,val
lfr,resnetse5,device:RealWorld_thigh+MotionSense:5+5,in-domain,2,3,MotionSense,0.7578125,0.7461282969656199,val
lfr,resnetse5,device:RealWorld_thigh+MotionSense:5+5,in-domain,5,0,RealWorld_thigh,0.6430555555555556,0.6484416764576236,val
lfr,resnetse5,device:RealWorld_thigh+MotionSense:5+5,in-domain,5,0,MotionSense,0.8037109375,0.7999365986453668,val
lfr,resnetse5,device:RealWorld_thigh+MotionSense:5+5,in-domain,5,1,RealWorld_thigh,0.6711805555555556,0.6771092194978413,val
lfr,resnetse5,device:RealWorld_thigh+MotionSense:5+5,in-domain,5,1,MotionSense,0.84765625,0.844698205469017,val
lfr,resnetse5,device:RealWorld_thigh+MotionSense:5+5,in-domain,5,2,RealWorld_thigh,0.6829861111111111,0.6720796331159797,val
lfr,resnetse5,device:RealWorld_thigh+MotionSense:5+5,in-domain,5,2,MotionSense,0.78125,0.767044685985533,val
lfr,resnetse5,device:RealWorld_thigh+MotionSense:5+5,in-domain,5,3,RealWorld_thigh,0.6086805555555556,0.612904602926893,val
lfr,resnetse5,device:RealWorld_thigh+MotionSense:5+5,in-domain,5,3,MotionSense,0.7724609375,0.7619265880325937,val
lfr,resnetse5,device:RealWorld_thigh+MotionSense:5+5,in-domain,full,0,RealWorld_thigh,0.6072916666666667,0.6144235167520445,val
lfr,resnetse5,device:RealWorld_thigh+MotionSense:5+5,in-domain,full,0,MotionSense,0.80078125,0.7967211985887604,val
lfr,resnetse5,device:RealWorld_thigh+MotionSense:5+5,in-domain,full,1,RealWorld_thigh,0.6326388888888889,0.6371392322725461,val
lfr,resnetse5,device:RealWorld_thigh+MotionSense:5+5,in-domain,full,1,MotionSense,0.80078125,0.797040494712883,val
