encoder,spec,budget,seed,local_epochs,round,target,test_acc,test_f1_macro,val_acc,val_f1_macro,uplink_mb,downlink_mb,method,n_shots,pretrain_rounds,pretrain_spec,lr,val_loss
tstcc,device:UCI:21,natural,2,5,58,UCI,0.8578125,0.8009000494500199,0.859375,0.8170233911353133,266.88963317871094,266.88963317871094,none,full,0,,0.0003,0.2988357793539752
tstcc,device:UCI:21,natural,2,5,59,UCI,0.859375,0.8002833643467092,0.8625,0.816579243427484,266.88963317871094,266.88963317871094,none,full,0,,0.0003,0.30226518213748876
tstcc,device:UCI:21,natural,2,5,60,UCI,0.853125,0.7962777919085701,0.859375,0.8195734650167934,266.88963317871094,266.88963317871094,none,full,0,,0.0003,0.3314158085722795
tstcc,device:UCI:21,natural,2,5,61,UCI,0.8609375,0.8015440380688046,0.859375,0.8170233911353133,266.88963317871094,266.88963317871094,none,full,0,,0.0003,0.30399662293493734
tstcc,device:UCI:21,natural,2,5,62,UCI,0.8609375,0.8015440380688046,0.859375,0.8170233911353133,266.88963317871094,266.88963317871094,none,full,0,,0.0003,0.30394558422267426
tstcc,device:UCI:21,natural,2,5,63,UCI,0.865625,0.8074847178801061,0.859375,0.8170233911353133,266.88963317871094,266.88963317871094,none,full,0,,0.0003,0.3065626814961433
tstcc,device:UCI:21,natural,2,5,64,UCI,0.859375,0.7997570306362076,0.85625,0.8140811012798899,266.88963317871094,266.88963317871094,none,full,0,,0.0003,0.31414764523506095
tstcc,device:UCI:21,natural,2,5,65,UCI,0.8625,0.8045768659652508,0.85625,0.8165874074335718,266.88963317871094,266.88963317871094,none,full,0,,0.0003,0.31716544404625857
tstcc,device:UCI:21,natural,2,5,66,UCI,0.8640625,0.806031307443347,0.85625,0.8140811012798899,266.88963317871094,266.88963317871094,none,full,0,,0.0003,0.3090411446988579
tstcc,device:UCI:21,natural,2,5,67,UCI,0.865625,0.8074847178801061,0.8625,0.8221828204464903,266.88963317871094,266.88963317871094,none,full,0,,0.0003,0.3144419822841883
tstcc,device:UCI:21,natural,2,5,68,UCI,0.8625,0.8048986359736177,0.8625,0.8221828204464903,266.88963317871094,266.88963317871094,none,full,0,,0.0003,0.310718685388565
tstcc,device:UCI:21,natural,2,5,69,UCI,0.8578125,0.802275301732575,0.859375,0.819240855762595,266.88963317871094,266.88963317871094,none,full,0,,0.0003,0.3338233433663717
tstcc,device:UCI:21,natural,2,5,70,UCI,0.8640625,0.8061891337821546,0.859375,0.816640300701072,266.88963317871094,266.88963317871094,none,full,0,,0.0003,0.30923021100461484
tstcc,device:UCI:21,natural,2,5,71,UCI,0.8640625,0.8061891337821546,0.859375,0.819240855762595,266.88963317871094,266.88963317871094,none,full,0,,0.0003,0.3111084826290607
tstcc,device:UCI:21,natural,2,5,72,UCI,0.86875,0.8083042849896153,0.8625,0.8195814771716602,266.88963317871094,266.88963317871094,none,full,0,,0.0003,0.3017792526632547
tstcc,device:UCI:21,natural,2,5,73,UCI,0.86875,0.8141905316148975,0.865625,0.8276060117683344,266.88963317871094,266.88963317871094,none,full,0,,0.0003,0.30690467692911627
tstcc,device:UCI:21,natural,2,5,74,UCI,0.8640625,0.804480488989857,0.865625,0.8276060117683344,266.88963317871094,266.88963317871094,none,full,0,,0.0003,0.307750304415822
tstcc,device:UCI:21,natural,2,5,75,UCI,0.8625,0.8122245946791523,0.8625,0.8271636807456048,266.88963317871094,266.88963317871094,none,full,0,,0.0003,0.3140381801873445
tstcc,device:UCI:21,natural,2,5,76,UCI,0.8703125,0.8116898635515039,0.8625,0.8246428897798797,266.88963317871094,266.88963317871094,none,full,0,,0.0003,0.312104820087552
tstcc,device:UCI:21,natural,2,5,77,UCI,0.859375,0.8041157417846356,0.8625,0.82494970798183,266.88963317871094,266.88963317871094,none,full,0,,0.0003,0.31113057136535627
tstcc,device:UCI:21,natural,2,5,78,UCI,0.871875,0.8188504372098322,0.865625,0.8278919978372533,266.88963317871094,266.88963317871094,none,full,0,,0.0003,0.316860956698656
tstcc,device:UCI:21,natural,2,5,79,UCI,0.865625,0.8131883815142762,0.859375,0.8222201051559491,266.88963317871094,266.88963317871094,none,full,0,,0.0003,0.31278077811002725
tstcc,device:UCI:21,natural,2,5,80,UCI,0.8609375,0.8124633625802297,0.8625,0.8295676843688844,266.88963317871094,266.88963317871094,none,full,0,,0.0003,0.3296951416879764
tstcc,device:UCI:21,natural,2,5,81,UCI,0.86875,0.8122544616893631,0.865625,0.8278919978372533,266.88963317871094,266.88963317871094,none,full,0,,0.0003,0.31196275129914275
