encoder,spec,budget,seed,local_epochs,round,target,test_acc,test_f1_macro,val_acc,val_f1_macro,uplink_mb,downlink_mb,method,n_shots,pretrain_rounds,pretrain_spec,lr,val_loss
tstcc,device:WISDM:36,natural,0,5,57,WISDM,0.726953125,0.728448080716275,0.7511160714285714,0.7230818825697147,457.52508544921875,457.52508544921875,none,2,0,,0.0003,0.7513112571489599
tstcc,device:WISDM:36,natural,0,5,58,WISDM,0.73125,0.7238605884761514,0.75,0.7015997269313915,457.52508544921875,457.52508544921875,none,2,0,,0.0003,0.5963495334809912
tstcc,device:WISDM:36,natural,0,5,59,WISDM,0.730859375,0.7243960633857833,0.7455357142857143,0.7017753337803451,457.52508544921875,457.52508544921875,none,2,0,,0.0003,0.6938039313868752
tstcc,device:WISDM:36,natural,0,5,60,WISDM,0.737109375,0.7304136973195003,0.7667410714285714,0.7214962780130172,457.52508544921875,457.52508544921875,none,2,0,,0.0003,0.47226329759827684
tstcc,device:WISDM:36,natural,0,5,61,WISDM,0.72734375,0.7196998328541493,0.7433035714285714,0.6926618362430459,457.52508544921875,457.52508544921875,none,2,0,,0.0003,0.6254337767272123
tstcc,device:WISDM:36,natural,0,5,62,WISDM,0.73828125,0.7404831982882952,0.7767857142857143,0.7506982869809895,457.52508544921875,457.52508544921875,none,2,0,,0.0003,0.5579566730385912
tstcc,device:WISDM:36,natural,0,5,63,WISDM,0.72578125,0.708404612366397,0.7399553571428571,0.6768846927351087,457.52508544921875,457.52508544921875,none,2,0,,0.0003,0.7067266097292304
tstcc,device:WISDM:36,natural,0,5,64,WISDM,0.703515625,0.7008967555981773,0.7109375,0.693884469862363,457.52508544921875,457.52508544921875,none,2,0,,0.0003,0.6034079171118459
tstcc,device:WISDM:36,natural,0,5,65,WISDM,0.739453125,0.7256170441607157,0.7578125,0.6996196968853625,457.52508544921875,457.52508544921875,none,2,0,,0.0003,0.5265181762765029
tstcc,device:WISDM:36,natural,0,5,66,WISDM,0.74375,0.745092311643353,0.7712053571428571,0.7454514377741697,457.52508544921875,457.52508544921875,none,2,0,,0.0003,0.5882692141458392
tstcc,device:WISDM:36,natural,0,5,67,WISDM,0.7421875,0.7262715382888179,0.7544642857142857,0.6926504648700308,457.52508544921875,457.52508544921875,none,2,0,,0.0003,0.5491858159657568
tstcc,device:WISDM:36,natural,0,5,68,WISDM,0.7484375,0.7523878585882562,0.7857142857142857,0.7702776738635251,457.52508544921875,457.52508544921875,none,2,0,,0.0003,0.5453843629719424
tstcc,device:WISDM:36,natural,0,5,69,WISDM,0.743359375,0.7301674400928474,0.7589285714285714,0.7029933666306848,457.52508544921875,457.52508544921875,none,2,0,,0.0003,0.5349433736077377
tstcc,device:WISDM:36,natural,0,5,70,WISDM,0.753125,0.7524055719009229,0.7712053571428571,0.7419524766999651,457.52508544921875,457.52508544921875,none,2,0,,0.0003,0.5530503688247076
tstcc,device:WISDM:36,natural,0,5,71,WISDM,0.751953125,0.7412025266852269,0.7633928571428571,0.7090660384200459,457.52508544921875,457.52508544921875,none,2,0,,0.0003,0.4917259543435648
tstcc,device:WISDM:36,natural,0,5,72,WISDM,0.745703125,0.7389789940197984,0.7544642857142857,0.7173192280928211,457.52508544921875,457.52508544921875,none,2,0,,0.0003,0.6491789552383125
tstcc,device:WISDM:36,natural,0,5,73,WISDM,0.754296875,0.7512215144848541,0.7779017857142857,0.7449885079376597,457.52508544921875,457.52508544921875,none,2,0,,0.0003,0.4825669978911589
tstcc,device:WISDM:36,natural,0,5,74,WISDM,0.749609375,0.7421676625364302,0.7589285714285714,0.7193609490759351,457.52508544921875,457.52508544921875,none,2,0,,0.0003,0.6188454015812438
tstcc,device:WISDM:36,natural,0,5,75,WISDM,0.75625,0.7584372376683555,0.7879464285714286,0.7704725742162344,457.52508544921875,457.52508544921875,none,2,0,,0.0003,0.5467831119562366
tstcc,device:WISDM:36,natural,0,5,76,WISDM,0.751953125,0.7491835064795022,0.7700892857142857,0.7365366115667855,457.52508544921875,457.52508544921875,none,2,0,,0.0003,0.5778529604763857
tstcc,device:WISDM:36,natural,0,5,77,WISDM,0.746875,0.7451994067954264,0.7611607142857143,0.7277147642311106,457.52508544921875,457.52508544921875,none,2,0,,0.0003,0.588937493573342
tstcc,device:WISDM:36,natural,0,5,78,WISDM,0.745703125,0.7468210121750308,0.7600446428571429,0.7358964007090111,457.52508544921875,457.52508544921875,none,2,0,,0.0003,0.6612700502986887
tstcc,device:WISDM:36,natural,0,5,79,WISDM,0.755859375,0.7477139833677029,0.7678571428571429,0.7253528712838707,457.52508544921875,457.52508544921875,none,2,0,,0.0003,0.5578478103187601
tstcc,device:WISDM:36,natural,0,5,80,WISDM,0.753125,0.7508780919192134,0.7734375,0.7416500925103194,457.52508544921875,457.52508544921875,none,2,0,,0.0003,0.5344716178452862
tstcc,device:WISDM:36,natural,0,5,81,WISDM,0.75703125,0.746964342503991,0.7622767857142857,0.7105653063239638,457.52508544921875,457.52508544921875,none,2,0,,0.0003,0.55975347495405
tstcc,device:WISDM:36,natural,0,5,82,WISDM,0.751953125,0.7504849651062686,0.7734375,0.7426135613337879,457.52508544921875,457.52508544921875,none,2,0,,0.0003,0.524014064493323
tstcc,device:WISDM:36,natural,0,5,83,WISDM,0.7609375,0.7519958985253974,0.7723214285714286,0.7298435290318805,457.52508544921875,457.52508544921875,none,2,0,,0.0003,0.5330652809394191
tstcc,device:WISDM:36,natural,0,5,84,WISDM,0.75234375,0.7512626733701522,0.7756696428571429,0.7461736580879065,457.52508544921875,457.52508544921875,none,2,0,,0.0003,0.5175038500622448
tstcc,device:WISDM:36,natural,0,5,85,WISDM,0.753125,0.7465152452884907,0.7734375,0.732825445651736,457.52508544921875,457.52508544921875,none,2,0,,0.0003,0.5358635465215359
tstcc,device:WISDM:36,natural,0,5,86,WISDM,0.755859375,0.755630168535717,0.7756696428571429,0.7493620023448346,457.52508544921875,457.52508544921875,none,2,0,,0.0003,0.5735738688714004
tstcc,device:WISDM:36,natural,0,5,87,WISDM,0.746875,0.7359407368799622,0.7522321428571429,0.7029146495190088,457.52508544921875,457.52508544921875,none,2,0,,0.0003,0.6519084176647344
tstcc,device:WISDM:36,natural,0,5,88,WISDM,0.748828125,0.7525903967693145,0.7756696428571429,0.761052600475876,457.52508544921875,457.52508544921875,none,2,0,,0.0003,0.612445906569649
tstcc,device:WISDM:36,natural,0,5,89,WISDM,0.753515625,0.7434857632733382,0.7734375,0.72336792413514,457.52508544921875,457.52508544921875,none,2,0,,0.0003,0.5072943145974672
tstcc,device:WISDM:36,natural,0,5,90,WISDM,0.754296875,0.7445275784027989,0.7745535714285714,0.7308424737181561,457.52508544921875,457.52508544921875,none,2,0,,0.0003,0.552639221805813
tstcc,device:WISDM:36,natural,0,5,91,WISDM,0.749609375,0.7469775293256139,0.7857142857142857,0.7552896830776998,457.52508544921875,457.52508544921875,none,2,0,,0.0003,0.4843944937456399
tstcc,device:WISDM:36,natural,0,5,92,WISDM,0.75390625,0.7437244191974182,0.7723214285714286,0.7278874285634449,457.52508544921875,457.52508544921875,none,2,0,,0.0003,0.5645451934875122
tstcc,device:WISDM:36,natural,0,5,93,WISDM,0.750390625,0.7501335957786731,0.7790178571428571,0.7526855492568101,457.52508544921875,457.52508544921875,none,2,0,,0.0003,0.5345186985297394
tstcc,device:WISDM:36,natural,0,5,94,WISDM,0.74921875,0.7420804806453278,0.7756696428571429,0.7359912088766429,457.52508544921875,457.52508544921875,none,2,0,,0.0003,0.5441153373436204
tstcc,device:WISDM:36,natural,0,5,95,WISDM,0.744140625,0.7424731313327646,0.7712053571428571,0.7418445153677057,457.52508544921875,457.52508544921875,none,2,0,,0.0003,0.5976631313429347
tstcc,device:WISDM:36,natural,0,5,96,WISDM,0.74765625,0.7450179919184441,0.78125,0.7517455856658881,457.52508544921875,457.52508544921875,none,2,0,,0.0003,0.5021249850812767
tstcc,device:WISDM:36,natural,0,5,97,WISDM,0.747265625,0.741738458004062,0.7767857142857143,0.7412959645164472,457.52508544921875,457.52508544921875,none,2,0,,0.0003,0.5584274238707232
tstcc,device:WISDM:36,natural,0,5,98,WISDM,0.750390625,0.7522175366613016,0.7857142857142857,0.7646555302756524,457.52508544921875,457.52508544921875,none,2,0,,0.0003,0.5464094802737236
tstcc,device:WISDM:36,natural,0,5,99,WISDM,0.750390625,0.7435796491487965,0.7801339285714286,0.7426373736310166,457.52508544921875,457.52508544921875,none,2,0,,0.0003,0.5463710304881845
tstcc,device:WISDM:36,natural,0,5,100,WISDM,0.7484375,0.7476198993088793,0.7857142857142857,0.758284717007698,457.52508544921875,457.52508544921875,none,2,0,,0.0003,0.507143351515489
tstcc,device:WISDM:36,natural,0,5,101,WISDM,0.749609375,0.7386908353253099,0.7734375,0.7270998270998271,457.52508544921875,457.52508544921875,none,2,0,,0.0003,0.5728827361017466
tstcc,device:WISDM:36,natural,0,5,102,WISDM,0.751171875,0.7548963267671016,0.7734375,0.7606833541424902,457.52508544921875,457.52508544921875,none,2,0,,0.0003,0.5542171830311418
tstcc,device:WISDM:36,natural,0,5,103,WISDM,0.755859375,0.7452142688144947,0.7857142857142857,0.7433258810358848,457.52508544921875,457.52508544921875,none,2,0,,0.0003,0.5158916554147643
tstcc,device:WISDM:36,natural,0,5,104,WISDM,0.760546875,0.7625545764209145,0.7767857142857143,0.7610904316381897,457.52508544921875,457.52508544921875,none,2,0,,0.0003,0.5393805986469877
